Workflow,State,Permission,Roles
codt_buildlicence_workflow,frozen_suspension,urban: Add Couple,"Contributor, Editor, Manager"
codt_buildlicence_workflow,frozen_suspension,Modify portal content,"Contributor, Editor, Manager, RoadEditor, AddressEditor"
codt_buildlicence_workflow,frozen_suspension,urban: Add Contact,"Contributor, Editor, Manager"
codt_buildlicence_workflow,frozen_suspension,urban: Add CODT_Inquiry,"Contributor, Editor, Manager"
codt_buildlicence_workflow,frozen_suspension,Delete objects,"Contributor, Editor, Manager"
codt_buildlicence_workflow,frozen_suspension,Add portal content,"Contributor, Editor, Manager, Reader"
codt_buildlicence_workflow,frozen_suspension,ATContentTypes: Add Image,"Contributor, Editor, Manager"
codt_buildlicence_workflow,frozen_suspension,View,"Contributor, Editor, ExternalReader, InternalReader, Manager, Reader, RoadEditor, RoadReader"
codt_buildlicence_workflow,frozen_suspension,urban: Add Corporation,"Contributor, Editor, Manager"
codt_buildlicence_workflow,frozen_suspension,Access contents information,"Contributor, Editor, ExternalReader, InternalReader, Manager, Reader, RoadEditor, RoadReader"
codt_buildlicence_workflow,frozen_suspension,urban: Add PortionOut,"AddressEditor, Manager"
codt_buildlicence_workflow,frozen_suspension,urban: Add UrbanEventOpinionRequest,"Contributor, Editor, Manager"
codt_buildlicence_workflow,retired,Review portal content,"Reviewer, Manager"
codt_buildlicence_workflow,retired,Modify portal content,"Editor, Contributor, Manager"
codt_buildlicence_workflow,retired,Acces contents information,"Reader, Editor, Contributor, Manager"
codt_buildlicence_workflow,retired,Modify view template,Manager
codt_buildlicence_workflow,retired,urban: Add CODT_Inquiry,"Editor, Contributor, Manager"
codt_buildlicence_workflow,retired,Delete objects,"Editor, Contributor, Manager"
codt_buildlicence_workflow,retired,Add portal content,"Editor, Contributor, Manager"
codt_buildlicence_workflow,retired,urban: Add CODT_UniqueLicenceInquiry,"Editor, Contributor, Manager"
codt_buildlicence_workflow,retired,View,"Reader, Editor, Contributor, Manager"
codt_buildlicence_workflow,retired,Access contents information,"Reader, Editor, Contributor, Manager"
codt_buildlicence_workflow,retired,Manage properties,"Contributor, Editor, Manager"
codt_buildlicence_workflow,complete,Review portal content,"Reviewer, Manager"
codt_buildlicence_workflow,complete,Modify portal content,"Editor, Contributor, Manager"
codt_buildlicence_workflow,complete,Acces contents information,"Reader, Editor, Contributor, Manager"
codt_buildlicence_workflow,complete,Modify view template,Manager
codt_buildlicence_workflow,complete,urban: Add CODT_Inquiry,"Editor, Contributor, Manager"
codt_buildlicence_workflow,complete,Delete objects,"Editor, Contributor, Manager"
codt_buildlicence_workflow,complete,Add portal content,"Editor, Contributor, Manager"
codt_buildlicence_workflow,complete,urban: Add CODT_UniqueLicenceInquiry,"Editor, Contributor, Manager"
codt_buildlicence_workflow,complete,View,"Reader, Editor, Contributor, Manager"
codt_buildlicence_workflow,complete,Access contents information,"Reader, Editor, Contributor, Manager"
